,n_topics,disaster_type,coherence_score
180,47,earthquake,-12.550415247492221
181,47,fire,-9.02736461992983
182,47,flood,-7.955518622120378
183,47,hurricane,-8.226066229740232
184,48,earthquake,-12.168012015798254
185,48,fire,-8.96282354510682
186,48,flood,-7.879178388302307
187,48,hurricane,-8.04605721954353
188,49,earthquake,-12.150817715889035
189,49,fire,-8.819775061255335
190,49,flood,-7.891908368420251
191,49,hurricane,-7.956814239331447
